user_id,titles_watched
2160,"Sứ Mệnh Về Bầu Trời ( Phần 2), Mecha-ude (TV), Thái Cổ Tinh Thần Quyết, RobiHachi, The iDOLM@STER: 765 Pro to Iu Monogatari, Zettai Junpaku Mahou Shoujo, Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru (Live Action), InuYasha"
2161,"Kiếm Tiên Ở Đây, Kimi no Kokoro wa Kagayaiteru kai?, Danna ga Nani wo Itteiru ka Wakaranai Ken, Steamboy, Tasogare Otome x Amnesia, Ma Mạng, Doraemon: Obaachan no Omoide, Yaneura no Rudger"
2162,"Kengan Ashura, Aikatsu Stars! 2"
2163,"Hai thế giới, Bokutachi no Remake, Eizouken ni wa Te wo Dasu na!, Cencoroll, Người Đại Diện Thời Gian OVA, Sekai no Owari ni Shiba Inu to, Con Đường Hiệp Nghĩa, Precure All Stars Movie New Stage 2: Kokoro no Tomodachi, Sword Gai: The Animation Part II, Higurashi no Naku Koro ni Rei, MM!, Initial D Fourth Stage, Võ Thần Chúa Tể, Ultraman Orb, Sekai Seifuku: Bouryaku no Zvezda, Uzaki-chan Muốn Đi Chơi! Mùa 2, Houkago Teibou Nisshi, Na Nare Hana Nare, Phong Linh Ngọc Tú Phần 2, New Game!: Watashi  Shain Ryokou tte Hajimete nano de..."
2164,"Touhou Niji Sousaku Doujin Anime: Musou Kakyou, Komi không thể giao tiếp, Space Bug, Bộ Ba Diễn Sâu"
2165,"Tsukiuta. The Animation 2, Pháp Sư Thế Giới Mới, Mushikago no Cagaster, Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san, Peter Grill to Kenja no Jikan, Hyakuren no Haou to Seiyaku no Valkyria, Maken-Ki! OVA"
2166,"Hakuouki Sekkaroku, Baka to Test to Shoukanjuu: Matsuri, Prima Doll, Thức Tỉnh Đi! Shichinin no Idol, Monogatari Series: Second Season, Saiki Kusuo no Ψ-nan: Kanketsu-hen, Break Blade Movie, Sasayaku You ni Koi wo Utau, Attack on Titan: Junior High, Ayashi no Ceres, Yami Shibai 13, Joshikousei: Girl's High, Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari, Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero"
2167,"Dragonaut: The Resonance Special, Mini Dragon, Thiếu Niên Ca Hành Phần 3, Keppeki Danshi! Aoyama-kun, Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!"
2168,"Machine-Doll wa Kizutsukanai Specials, Shinkalion: Change the World, FLCL, Thợ Săn Ẩm Thực, Zom 100: Zombie ni Naru made ni Shitai 100 no Koto, Nữ Quỷ Nhà Bên, Dimension W, Thiếu Nữ Cấp Nguồn Ở Thế Giới Đảo Lộn, Violet Evergarden: Recollections, Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation, Queen's Blade: Rurou no Senshi Specials, Khu Vườn Ngôn Từ, Rain Town, Rising Impact, Toji no Miko - Nữ Kiếm Khách Học Đường, Thôn Phệ Tinh Không: Đại Lục Huyết Lạc, Guilty Crown"
2169,"Ookami-san to Shichinin no Nakama-tachi, Another World (Hello World), Biệt đội Alpha, Aoki Hagane no Arpeggio: Ars Nova Cadenza, Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram, KÝ SINH THÚ, Promare: Galo-hen, Deadman Wonderland, Nhật Kí Tương Lai (TV), Cô Gái Tầng Dưới, Orenji deizu, Saint Seiya: Kamigami no Atsuki Tatakai, Mahou Shoujo Lyrical Nanoha ViVid, Kobayashi ga Kawai sugite Tsurai!!, Isekai Ojisan, Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku 2nd Season, Bước Chạy Thanh Xuân"
2170,"Sayonara no Asa ni Yakusoku no Hana wo Kazarou, Thánh Ngân II, Ani ni Tsukeru Kusuri wa Nai! 2, Nekogami Yaoyorozu"
2171,"Orange (Live Action), THẾ LỰC CHỐNG MA THUẬT, Mikakunin de Shinkoukei, Super Crooks, Kimi no Kokoro wa Kagayaiteru kai?, Mazinkaiser SKL, Bảy viên ngọc rồng GT"
2172,"Stand By Me Doraemon 2, Ongaku Shoujo, Doraemon Movie 03: Nobita no Daimakyou, Kakegurui Twin, Thủ Tịch Ngự Linh Sư, Yami Shibai 11, Nguyệt Đạo Dị Giới, Kemono Jihen, Tsurune Movie: Hajimari no Issha, Hóa Giải Lời Nguyền KAPPA, Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou, Đấu La Đại Lục, Kỷ nguyên Genesis, Stand By Me Doraemon, Tân Phong Thần: Na Tra Trùng Sinh, Thế giới chỉ có Thánh thần biết: Megami-hen, Hayate no Gotoku! Cuties"
2173,"Re:Creators BD, Ping Pong The Animation, Khổng Minh Thích Tiệc Tùng, Dive!!"
2174,"Người Đại Diện Thời Gian, Ngoan Tây Du, Hanma Baki: Son of Ogre"
2175,"Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso, Uchi no Maid ga Uzasugiru!, Teekyuu 4, Hori-san to Miyamura-kun, Gaikotsu Shotenin Honda-san, So Ra No Wo To Specials, Cuộc Chiến Xe Tăng Specials, Soukou Musume Senki, Jigokuraku - Địa Ngục Cực Lạc, Gundam Build Divers Re:Rise, Ima  Soko ni Iru Boku, Bách Hoa Liễu Loạn: Samurai Bride, Beautiful Rain, Ngũ Nữ Nhẫn Giả (Phần 1), Dragon  Ie wo Kau., Happy Happy Clover, Yama no Susume: Kabe tte Kowakunai no?, Nhà Có Năm Nàng Dâu Movie, Strike Witches: Operation Victory Arrow, Sengoku Basara Movie: The Last Party"
2176,"Thực Đơn Hôm Nay Cho Gia Đình Emiya, Trạch Thiên Ký, Versailles no Bara, Eiyuu Densetsu: Sora no Kiseki The Animation, Fushigiboshi no☆Futagohime"
2177,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero
2178,"Là Vương Giả ư?, Đại Vương Tha Mạng 2, Bleach: Sennen Kessen-hen - Soukoku-tan, Bucchigiri?!, Dear Boys"
2179,"Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran, Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On., Loveless, Kamiarizuki no Kodomo, Sword Art Online: Progressive, Thám Tử Conan Movie 1: Quả Bom Chọc Trời, Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special, Doraemon Movie: Boku  Momotarou no Nanna no Sa, Digimon Xros Wars, Seiyuu Radio no Uraomote, Saint☆Oniisan, Đại Sứ Du Lịch, Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng, Nodame Cantabile: Paris-hen, Nếu như thiếu niên ở ngôi làng ngay trước Last Dungeon chuyển tới Thành Tân Thủ, Cupid's Chocolates, Blue Lock 2nd Season, Mahou Shoujo Madoka★Magica"
2180,"Rakuen Tsuihou: Expelled from Paradise, Hetalia Axis Powers, Net-juu no Susume Special, Jaku-Chara Tomozaki-kun 2nd Stage, Kaitou Joker, Chuyện tình Romeo và Juliet, Choujigen Game Neptune The Animation OVA: Hidamari no Little Purple, GTO: Great Teacher Onizuka Season 2 [Live Action], Tiểu Lam và Tiểu Lục 3, Samidare Của Những Vì Sao, Hokuto no Ken: Raoh Gaiden Ten no Haoh, Thỏ Đen Bảy Mạng, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA, Mama wa Shougaku 4 Nensei, Mouse, Thành phố du lịch 2, Anh Hùng? Ta Không Làm Lâu Rồi, Tây Hành Kỷ: Ám Ảnh Ma Thành"
2181,"Sonny Boy, Yozakura-san Chi no Daisakusen, Battle Athletess Daiundoukai ReSTART!, Sekai no Owari ni Shiba Inu to, Gakuen Babysitters, Kamen Rider Zi-O, Gal to Kyouryuu, Cowboy Bebop, Thám Tử Loạn Trí, White Album 2, Doraemon Movie 42: Nobita Và Vùng Đất Lý Tưởng Trên Bầu Trời, Nghịch Thiên Kiếm Thần, Senki Zesshou Symphogear GX, Golden Kamuy 2nd Season, Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life, Miru Tights, Magi: Mê Cung Thần Thoại 1, Ano Hi Mita Hana No Namae O Bokutachi Wa Mada Shiranai (live action)"
2182,"Higurashi no Naku Koro ni, Rainbow: Nisha Rokubou no Shichinin, IDOLiSH7, Tinh Thần Biến, Bộ giáp rỉ sét -Bình minh-, Freezing, RahXephon: Tagen Hensoukyoku, Yuuki Yuuna là anh hùng - Chương Hoa nở rộ, Mai-Otome, Thần Long Tinh Chủ, Cuộc Chiến Người Khổng Lồ OVA, Wakaokami wa Shougakusei! Movie, Baby Steps 2nd Season"
2183,"Date A Live Ⅲ, Thuỷ Thủ Mặt Trăng, Nanatsu no Taizai: Imashime no Fukkatsu, Change!! Getter Robo: Sekai Saigo no Hi, Shoukoku no Altair, Air, Nurarihyon no Mago: Jump Super Anime Tour Special, Yu☆Gi☆Oh! Zexal, Druaga no Tou: The Sword of Uruk, Nổi Loạn!, Boku wa Tomodachi ga Sukunai Next, Ao no Exorcist: Yosuga-hen, Bắt Đầu Từ Cô Hoạch Điểu: Long Thành Phong Vân, Tsubasa to Hotaru, KanColle: Itsuka Ano Umi de, Luger Code 1951, Kashimashi: Girl Meets Girl"
2184,"Họa Giang Hồ Chi Bất Lương Nhân Phần 4, SSSS.Gridman, Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa, Tom & Jerry: Quậy Tung New York (2021), Cuộc Chiến Xe Tăng, Tasokare Hotel, Princess Connect!"
2185,"Kaiba, Kenzen Robo Daimidaler, Khát khao cặn bã, Kidou Tenshi Angelic Layer, Kiếm Đạo Đệ Nhất Tiên, Getsuyoubi no Tawawa Specials, D.C.: Da Capo, Senki Zesshou Symphogear G: Senki Zesshou Shinai Symphogear, Miru Tights, Violet Evergarden: Hồi Ức Không Quên, Sakurada Reset, Mekakucity Actors, Vua Hải Tặc: Lễ Hội Hải Tặc"
2186,"Doraemon Movie 26: Nobita no Kyouryuu 2006, Freezing Specials, Vatican Kiseki Chousakan, Monsuto Anime: Kieyuku Uchuu-hen, Thế Giới Phép Thuật Bản đặc biệt, Seto no Hanayome OVA, Ike! Ina-chuu Takkyuubu, Lá Bài Cổ, Ai Yori Aoshi, Kanojo ga Flag wo Oraretara OVA, Lupin III: Part 6, Piano no Mori (TV), Tinh Nguyên Chi Chủ, Hiền Giả Mạnh Nhất Với Dấu Ấn Yếu Nhất"
2187,"Salaryman Kintarou, Kodomo no Jikan OVA, Trường Học Vui Nhộn 2, Triage X, Digimon Adventure 02 Movies, Kuroko no Basket: Last Game, Itazura na Kiss The Movie, Shangri-La Frontier 2nd Season, HÀNH TRÌNH THAY ĐỔI THẾ GIỚI: Otome Tairan, Aria The Natural: Sono Futatabi Deaeru Kiseki ni..., Solo Leveling - Tôi Thăng Cấp Một Mình, Weiß Survive, Tokyo Mew Mew, Cái Giá Phải Trả SS2, Subarashiki Kono Sekai The Animation, Pretty Rhythm: All Star Selection, Dekoboko Majo no Oyako Jijou"
2188,"Strawberry on the Shortcake, Tiệm Đồ Cổ A Xá, Kuro Gal ni Natta kara Shinyuu to shitemita., Higurashi no Naku Koro ni Rei, Chuunibyou demo Koi ga Shitai! Ren Lite, D.Gray-man Hallow, Re:Zero kara Hajimeru Break Time 2nd Season, Highspeed Etoile, One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna"
2189,"Jewelpet Magical Change, New Initial D Movie: Legend 3 - Mugen, Aggressive Retsuko: We Wish You a Metal Christmas, D.C.S.S: Da Capo Second Season, Karas: The Prophecy, Attack on Titan: No Regrets, So Ra No Wo To, Itsuka Aeru Kimi ni, Mahoutsukai Precure!, Around 40 Otoko no Isekai Tsuuhan, Tinh Vực Bốn Vạn Năm, Tsukipro The Animation, Spriggan, Huyễn Sủng Sư, Ẩm thực cùng Wakako, Mahou Sensei Negima!, Chuunibyou demo Koi ga Shitai! Ren Lite, Toàn Chức Pháp Sư 3, Revenger, Chonnyonyeouu Yeouubi"
2190,"Inazuma Eleven: Outer Code, Ongaku Shoujo, Ghost in the Shell: Stand Alone Complex 2nd GIG"
2191,"Hắc quản gia (2014) [Live Action], Otona Joshi no Anime Time, Koi Koi 7, Mujaki no Rakuen, Sát Thủ Lưỡi Kéo Mùa 2, Nagasarete Airantou, Magi: Sinbad no Bouken"
2192,"Rilu Rilu Fairilu: Yousei no Door, Đương Đầu Băng Nhền Nhện - Hunter X Hunter, Harmonie, Công Viên Rực Rỡ Amagi: Wakuwaku Mini Theater - Rakugaki Backstage, Võ Luyện Đỉnh Phong, Hana wa Saku  Shura no Gotoku, Doraemon Movie 26: Nobita no Kyouryuu 2006, Có Bạn Gái  Lại Thêm Bạn Gái, Nanatsu no Taizai, Kami no Tou: Ouji no Kikan, Nhật Ký Hán Hoá, Saiki Kusuo no Ψ-nan: Live Action"
2193,"Bungou Stray Dogs: Dead Apple, Poputepipikku 2nd Season, Yu☆Gi☆Oh!: Duel Monsters GX, Saint Seiya Movie 3, Gibiate, Monster Strike The Animation, Kenka Banchou Otome: Girl Beats Boys, Inazuma Eleven Go vs. Danball Senki W Movie, Toaru Kagaku no Railgun, Ẩm thực cùng Wakako, Senyuu., Sennen Joyuu"
2194,Ma Lực Của Thánh Nữ Là Toàn Năng
2195,"Uchouten Kazoku, Đương Đầu Băng Nhền Nhện - Hunter X Hunter, Kizumonogatari II: Nekketsu-hen, Yumekui Merry, Dantalian no Shoka: Ibarahime, Kiếp Chuyển Sinh Ngọt Ngào, Kakegurui Twin"
2196,"Donten ni Warau Gaiden: Ketsubetsu  Yamainu no Chikai, Space☆Dandy, Nisekoi Live Action, Kiếm Võng 3: Hiệp Can Nghĩa Đảm Thẩm Kiếm Tâm, Strike the Blood III, Nhóm Nhạc Thần Tượng - Phần 2, Animegataris, Pokemon Evolutions, Fukigen na Mononokean, Cố Lên Douki-chan, Shouwa Monogatari, Tàn Thứ Phẩm, White Album 2nd Season, Rakuen Tsuihou: Expelled from Paradise, Phiêu Lưu Cùng Người Bạn Đã Trở Thành Thiếu Nữ Xinh Đẹp Ở Dị Giới, Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga  Dou Medereba Ii?, Saiki Kusuo no Ψ-nan ONA, Otome wa Boku ni Koishiteru: Trinkle Stars The Animation, Nurarihyon no Mago: Jump Super Anime Tour Special"
2197,Reikenzan: Hoshikuzu-tachi no Utage
2198,"Bem, Wind Breaker, One Piece Live Action, Phòng Thí Nghiệm Tình Yêu, Fate/strange Fake: Whispers of Dawn, Majisuka Gakuen (Season 3), Ichigo Mashimaro, Ngạ Qủy Vùng Tokyo OVA, Healin' Good♡Precure Movie: Yume no Machi de Kyun! Tto GoGo! Dai Henshin!!, Quái vật Musume OVA, Chưa Bao Giờ Là Quá Muộn, Tsurune: Kazemai Koukou Kyuudoubu, Sử Ma của Zero, Sanrio Danshi, Ramen Akaneko, Sứ Mệnh Về Bầu Trời ( Phần 2)"
2199,"Doraemon Movie 35: Nobita no Space Heroes, Hero Mask, Shy, Dota: Dòng Máu Rồng, Thiếu Nữ Cấp Nguồn Ở Thế Giới Đảo Lộn, Paprika - Kẻ trộm giấc mơ, Wonderful Precure!, Rosario to Vampire, Nam Chính Mạnh Nhất Lịch Sử"
2200,"Watashi ni Tenshi ga Maiorita!, Shinya Shokudo, Arakawa Under the Bridge x Bridge, Vạn Giới Thần Chủ, Higurashi no Naku Koro ni Kai, Nữ Sinh Bạo Lực Specials, Fruits Basket: Prelude, Yurei Deco, Tín Đồ Thẻ Bài, Yami Shibai 12, Bách Hoa Liễu Loạn: Samurai Bride"
2201,"Kobayashi-san Chi no Maid Dragon Specials, Sukitte Ii na yo.: Dareka ga, Bắc Đẩu Thần Quyền 2, Hội Chứng Tuổi Thanh Xuân: Cô Bé Đeo Cặp Sách, Đấu La Đại Lục, Hanamaru Youchien"
2202,"Ibara no Ou, JoJo no Kimyou na Bouken: Diamond wa Kudakenai, Nhóm Nhạc Thiên Hà Lịch, Học Viện Anh Hùng Mùa 3, Ultraman Max, Kimi ga Aruji de Shitsuji ga Ore de, Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou, Overlord: Ple Ple Pleiades 3, Jingai-san no Yome, Kyoukaisenjou no Horizon, Nhóm Nhạc Thần Tượng, Thủ Lĩnh Thẻ Bài: Clear Card-hen, Detective Conan: Kudo Shinichi e no Chousenjou [Live Action], Kakegurui Twin, Doraemon: Obaachan no Omoide, Blade Runner: Black Lotus, Asagao to Kase-san., Chúa Tể Của Những Chiếc Nhẫn: Cuộc Chiến Của Rohirrim, Fruits Basket: Prelude"
2203,"Khoảng Không Giữa Bầu Trời Và Biển Cả, Otome Nadeshiko Koi Techou, Uchuu Show e Youkoso, Yami Shibai 13, Urusei Yatsura (2022) 2nd Season, Date A Live Movie: Mayuri Judgment, Yona Của Bình Minh, Hắc Môn, Hanamaru Youchien, High Card, Digimon Adventure 02, Druaga no Tou: The Sword of Uruk, Biên Niên Sử Nanoha Phần 3, Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel"
2204,"Urasekai Picnic, Seitokai Yakuindomo, Kaze to Ki no Uta Sanctus: Sei Naru Kana, Break Blade, Bước Chạy Thanh Xuân, Thánh Phồng Tôm 2, Macross Δ Movie 2: Zettai Live!!!, Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu, Kyou no Asuka Show, Chúng Ta Sẽ Kết Hôn Thật Sao?, Dame x Prince Anime Caravan, Gaikotsu Shotenin Honda-san, Memories, Golden Knight Garo, Thổ thần tập sự: Kamisama  Shiawase ni Naru, Hashiri Tsuzukete Yokattatte."
2205,"Toàn Chức Pháp Sư: Lời Uỷ Thác Thần Bí (Phần Đặc Biệt), Vĩnh Sinh: Hải Phệ Tiên Linh (Phần 4), Giấc Mơ Sân Cỏ (2018), Ong Đưa Thư, Tomodachi Game Live Action, Afro Samurai Movie, Hanamonogatari, Trigun"
2206,"Miêu Chi Minh, Chén thánh: Đêm Định Mệnh, Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren, Ta Muốn Trở Thành Chúa Tể Bóng Tối!, Ông Bà Hồi Xuân, IDOLiSH7 Vibrato, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season, Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu, Chou Futsuu Toshi Kashiwa Densetsu R, Độc Bộ Tiêu Dao"
2207,"Bí mật bóng tối (Phần 2), Genshiken OVA, MM!, Truyện Kinh Dị Nhật Phần 2, Bullbuster, Youjo Senki Movie: Manner Eizou, Dragonaut: The Resonance, Captain Tsubasa Season 2: Junior Youth-hen, Nana to Kaoru, City Hunter, Yêu Yamada ở Lv999!, Tales of Phantasia The Animation, Kyoukaisenjou no Horizon, Yuru Camp△ Season 3 Specials, Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen, Date A Live IV, Kamen Rider Build NEW WORLD: Kamen Rider Cross-Z (2019)"
2208,"Super Sentai Saikyou Battle (2019), Song Tinh Diệt Quỷ Sư, Chi's Sweet Home OVA, Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi, Noragami OVA, Eden 2021 (TV series), Thiếu Nữ Đến Từ Địa Ngục - Phần 3, Seikimatsu Occult Gakuin, D.C.II S.S.: Da Capo II Second Season, Watashi  Nouryoku wa Heikinchi de tte Itta yo ne!, Bảy Viên Ngọc Rồng Movie 12"
2209,"Rec, Mirai Shounen Conan - Cậu Bé Thông Minh, Hồng Liên Vương, Ngày Phán Xét, Yuru Yuri♪♪, SK∞, Suite Precure♪ Movie: Torimodose! Kokoro ga Tsunaku Kiseki no Melody♪, Isekai Quartet 2, Piace: Watashi no Italian, Cuộc Hành Trình Của Kino OVA, Thuỷ Thủ Mặt Trăng R, HeatGuy J, Akira, Ayaka, Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran, Thanh Gươm Nữ Hoàng: Rebellion, Doraemon Movie 36: Shin Nobita no Nippon Tanjou"
2210,"Sát Thần, Hatena☆Illusion, Toàn Chức Cao Thủ, Aikatsu Stars!, Gun x Sword, Weiß Survive, Tada-kun wa Koi wo Shinai, Nguyệt Đạo Dị Giới Mùa 2, W'z, Dual Parallel! Trouble Adventures, Tần thời Minh Nguyệt - Chi Long Đằng Vạn Lý, Nil Admirari no Tenbin: Teito Genwaku Kitan, Somali to Mori no Kamisama, Ngoài tầm giấc mơ : Aru Shoujo no Kyuujitsu★, Virtual-san wa Miteiru"
2211,"Có Vẻ Nhóm Mạo Hiểm Giả Không Tin Vào Nhân Loại Sẽ Giải Cứu Thế Giới, Chain Chronicle: Haecceitas no Hikari Movie, Hokuto no Ken: Yuria-den, Bubuki Buranki: Hoshi no Kyojin, Wo Shi Jiang Xiaobai 2nd Season, Jijou wo Shiranai Tenkousei ga Guigui Kuru., Uchouten Kazoku, Promare: Lio-hen, Bách Hoa Liễu Loạn: Samurai Girls Specials, Bạch Xàː Duyên Khởi, Cuộc Chiến Người Khổng Lồ OVA, Haikyuu!! Riku vs. Kuu"
2212,"Loop 7-kaime no Akuyaku Reijou wa  Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru, Otome Nadeshiko Koi Techou"
2213,"Hồi Sinh Thế Giới, Hayate no Gotoku! Can't Take My Eyes Off You, Thế Giới Phép Thuật Bản đặc biệt"
2214,"Hitsugi no Chaika, Yuru Yuri Nachuyachumi!+, Versailles no Bara, Wo Shi Jiang Xiaobai 2nd Season, Berserk: Ougon Jidai-hen III - Kourin, Seikaisuru Kado, Shin Tennis no Oujisama: U-17 World Cup Semifinal, Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials, Fukigen na Mononokean Tsuzuki, Soul Link, Steins;Gate Movie: Fuka Ryouiki no Déjà vu, Dragon's Dogma, Taifuu no Noruda, Mecha-ude, Mashiro-iro Symphony: The Color of Lovers, Shokugeki no Souma: Ni no Sara"
2215,"Bình Minh Của Phù Thủy, Jie Mo Ren, Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari"
2216,"Precure Super Stars! Movie, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna, Macross, Quái Thú, Kidou Senshi Gundam: Fukushuu no Requiem"
2217,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai., Tu La Võ Thần, Kizumonogatari II: Nekketsu-hen, Tanaka-kun wa Kyou mo Kedaruge, Đấu La Đại Lục, Jashin-chan Dropkick X, Seiken Tsukai no World Break"
2218,"Học Viện Anh Hùng Mùa 4, Macross Zero"
2219,"Tây Du Ký: Tái Thế Yêu Vương, Yu☆Gi☆Oh!: Hikari no Pyramid, Ai Nói Đây Là Yêu Chứ Tôi Là Tôi Mắc Ói, The iDOLM@STER Shiny Colors, Overlord IV, Trò Chơi Vực Sâu, Darwin's Game, C³, Tân Phong Thần: Na Tra Trùng Sinh, Aikatsu Friends!: Kagayaki no Jewel, Kizumonogatari II: Nekketsu-hen, Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna, Hakata Tonkotsu Ramens, Kyoukai no Rinne (TV) 2nd Season"
2220,"Noblesse: Awakening, Manh Thê Thực Thần Mùa 2, Ro-Kyu-Bu! SS, Lá Bài Cổ (Live-action Phần 1), Kidou Tenshi Angelic Layer, Bất Thường Tại Trường Phép Thuật Special, Ác Quỷ Sống Sót 2"
2221,"Soukou Kihei Votoms: Koei Futatabi, Muv-Luv Alternative 2nd Season, Gyo, Tiên Võ Thương Khung, Trò Chơi Cân Não SP, Thất Kiếm Ma Thuật Thống Trị Thế Giới, Love Live! Superstar!! 2nd Season, Granblue Fantasy The Animation Season 2, Freezing Vibration Specials, Thám tử lừng danh Conan: Nhà ảo thuật với đôi cánh bạc"
2222,"Mangirl!, Haiyore! Nyaruko-san F, Ladies versus Butlers! Specials, Shigatsu wa Kimi no Uso: Moments, Candy Boy Episode: EX01 - Mirai Yohouzu, Mama wa Shougaku 4 Nensei, Coquelicot-zaka kara, Gokujou!! Mecha Mote Iinchou, One Room, Rifle Is Beautiful, Megazone 23, Hidan no Aria Special, Amaama to Inazuma, Chibi☆Devi!, Higurashi no Naku Koro ni Kai, Ultraman Season 3"
2223,"Không Kí Ức : Mặt Nạ Giả Tạo, Chaos Dragon: Sekiryuu Seneki, Kuma Kuma Kuma Bear, Chân Dương Võ Thần, Tensei shitara Slime Datta Ken OVA"
2224,"Ranh Giới Quỷ, Vẻ Đẹp Đích Thực, Grendizer U, Kiitarou Shounen no Youkai Enikki, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan, A-Channel"
2225,"Boogiepop wa Warawanai (2019), Rewrite 2nd Season, Chrome Shelled Regios, Hakuouki Reimeiroku Tokuten Disc, Chuyển Sinh Trở Thành Tiểu Thư Độc Ác Chỉ Toàn Flag Hủy Diệt Trong Otome Game... X"
2226,"Subarashiki Kono Sekai The Animation, Nijiiro Days, Yakunara Mug Cup mo Live Action, Katsute Mahou Shoujo to Aku wa Tekitai shiteita., Kono Sekai wa Fukanzen Sugiru, Tiết Khí Sư Cuối Cùng, Non Non Biyori Nonstop, Mạo Hiểm Giả Bất Tử Ngoài Mong Muốn, Black Rock Shooter: Dawn Fall, Rescue Me!, Căn Hộ Ma Quái, Sin: Thất Đại Tội, Given, Cat's Eye, Binchou-tan"
2227,"Kiss x Sis, Tensei Kizoku  Kantei Skill de Nariagaru, Pháp Sư Thế Giới Mới, Tìm lại chính mình OVA, Pocket Monsters, Cat's Eye, Toàn Chức Cao Thủ (2018), Boku no Imouto wa ""Osaka Okan"", Màu Của Ảo Giác"
2228,"Itazura Majo to Nemuranai Machi, Em Là Nàng Hầu Gái, Inazuma Eleven Go: Chrono Stone, Attack on Titan (Live-Action), Love All Play, Năng Lực Một Câu Chết Luôn Của Tôi Quá Bá Đạo Nên Vô Đối Ở Dị Giới, KOIZUMI CÔ NÀNG YÊU RAMEN SP, Shingeki no Bahamut: Genesis - Liên Minh Tam Giới, Tạm Dừng! Đợi Ta Xem Hướng Dẫn, Asa made Jugyou Chu!, Bleach, Dual Parallel! Trouble Adventures"
2229,"Blade Runner: Black Lotus, Doraemon: Nobita Và Cuộc Chiến Vũ Trụ Tí Hon, DanMachi III, Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd, Thanh Gươm Diệt Quỷ: Làng Thợ Rèn, IS: Infinite Stratos 2, Koutetsujou no Kabaneri Movie 3: Unato Kessen"
2230,"Rurouni Kenshin: Meiji Kenkaku Romantan (2023), Kimi no Iru Machi, Thực thể Persona 4: No One is Alone"
2231,"Dead Mount Death Play, Sơn Hải Phục Ma Lục, Mangirl!, Busou Shoujo Machiavellianism: Doki!, Mikagura Gakuen Kumikyoku, Cuồng Thần Ma Tôn, Sengoku Musou, Bartender Live Action, ReLIFE, Cyclops Shoujo Saipuu, Love Hina, Hoshizora e Kakaru Hashi, Tây Hành Kỷ, Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen, Kanojo ga Flag wo Oraretara, Chuyển Sinh Thành Đệ Thất Hoàng Tử  Tôi Quyết Định Trau Dồi Ma Thuật, Go! Go! 575, Stand By Me Doraemon 2"
